filename,x,y
0214_14_07_1336-01.jpg,14.905146,4.003307
0215_14_07_1336-02.jpg,8.323376,8.213947
0216_14_08_1313-01.jpg,11.086610,2.552811
0217_14_08_1342-01.jpg,15.630634,6.279737
0218_14_09_1311-01.jpg,11.544347,2.252311
0219_14_10_1302-01.jpg,11.757638,5.456463
0220_14_10_1334-01.jpg,15.047899,2.673341
0221_14_10_1354-01.jpg,4.605581,2.196982
0222_14_11_1350-01.jpg,4.493336,2.209898
0223_14_11_1351-01.jpg,4.717141,2.361164
0224_14_12_1329-01.jpg,14.391566,1.896384
0225_14_12_1329-02.jpg,14.224992,1.854513
0226_14_12_1346-01.jpg,15.384627,6.795229
0228_15_01_1335-02.jpg,13.187424,3.923679
0229_15_01_1347-01.jpg,-4.822722,8.767357
0230_15_01_1355-01.jpg,5.020313,2.269223
0231_15_03_1350-01.jpg,4.443891,2.878592
0232_15_04_1330-01.jpg,14.610197,2.095820
0233_15_04_1332-01.jpg,14.496136,2.241514
0234_15_05_1344-01.jpg,15.433943,6.648005
0235_15_07_1335-01.jpg,8.134341,8.197769
0236_15_07_1343-01.jpg,15.514602,6.294731
0238_15_10_1336-01.jpg,15.224774,3.175436
0239_15_12_1348-01.jpg,6.664890,6.770831
0240_16_01_1345-01.jpg,5.892938,9.033257
0241_16_05_1332-01.jpg,14.828158,2.379163
0242_16_06_1335-01.jpg,8.140284,8.147652
0243_16_07_1335-01.jpg,15.454440,3.492356
0244_16_08_1353-01.jpg,6.304521,3.674416
0245_16_08_1354-01.jpg,5.849479,2.749976
0246_16_10_1346-01.jpg,10.602739,3.249265
0247_16_10_1355-01.jpg,4.963669,2.222247
0248_16_11_1345-01.jpg,-4.796754,8.856629
0249_16_11_1352-01.jpg,6.944532,4.121396
0250_17_02_1331-01.jpg,14.645134,2.034666
0251_17_02_1343-01.jpg,15.731606,6.599756
0252_17_03_1311-01.jpg,9.499076,3.116834
0253_17_03_1324-01.jpg,8.953397,3.295590
0254_17_03_1349-01.jpg,6.393644,7.133078
0255_17_04_1337-01.jpg,15.098414,3.534065
